#N/A	Geneid	Fmr1_RPF_4	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RPF_5	Fmr1_RPF_6	Fmr1_RNA_3	Fmr1_RNA_4	Fmr1_RPF_2	control_RNA_2	Fmr1_RNA_6	control_RPF_4	control_RNA_3	Fmr1_RPF_7	Fmr1_RNA_5	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1			#SUBMITTED ID	SYMBOL
SP555	FBgn0260470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0024897	b6
CG14042	FBgn0260451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0025378	CG3795
CG31650	FBgn0031673	1	30	3017	48	37	28	8	3208	3787	27	3360	2738	15	3926	30	3257	3272	3899	28	0			FBgn0025391	Scgdelta
CG44001	FBgn0264743	0	19	0	66	45	35	8	0	0	14	0	0	23	0	23	0	0	0	20	0			FBgn0052806	CG32806
CG33995	FBgn0053995	0	35	0	71	69	59	17	0	0	46	0	0	40	0	30	0	0	0	41	0			FBgn0029589	CG14810
CG44000	FBgn0264742	2	42	0	74	58	71	24	0	0	46	0	0	51	0	41	0	0	0	52	3			FBgn0052801	CG32801
CG9121	FBgn0031675	0	0	9	0	3	1	0	13	19	0	21	27	2	26	0	15	19	23	0	0			FBgn0025632	CG4313
eIF3h	FBgn0022023	13	365	12881	427	382	311	121	12140	13405	356	10422	12700	189	11086	204	12013	12873	10342	340	2			FBgn0026878	CG4325
senju	FBgn0031676	0	50	1781	84	60	79	28	1648	1857	49	1976	1639	38	2315	36	1862	1924	2189	71	0			FBgn0025625	Sik2
CG14036	FBgn0031677	0	216	3442	362	230	225	97	3354	3720	224	4487	3128	124	4771	118	3856	3645	4838	263	2			FBgn0029596	CG14054
His3.3A	FBgn0014857	1	1013	3415	936	977	708	380	3308	4258	598	4450	3852	515	4790	473	4026	3598	4588	804	0			FBgn0025627	CG4194
Nepl3	FBgn0031678	1	96	998	113	104	135	36	906	1371	63	1211	1218	51	1370	47	1337	1035	1316	73	1			FBgn0005670	Cyp4d1
Rpn11	FBgn0028694	7	1054	9084	1216	1059	909	354	8637	11578	837	11388	8730	570	12667	529	10297	9331	11974	993	5			FBgn0023541	Cyp4d14
qtc	FBgn0028572	0	38	319	43	48	28	14	219	227	11	142	255	28	109	20	199	286	125	28	2			FBgn0011576	Cyp4d2
RpL37A	FBgn0261608	3	1074	37425	736	844	398	201	29578	31702	515	26716	33401	557	26741	303	32005	34349	26482	639	0			FBgn0040900	CG17777
Pgant5	FBgn0031681	3	66	3684	139	113	125	33	3350	4131	50	4264	3212	68	4822	39	3717	3705	4224	83	0			FBgn0029603	CG14053
CG5828	FBgn0031682	1	35	2394	87	55	49	12	2289	2702	51	2575	2435	28	2859	26	2553	2492	2638	50	1			FBgn0023550	FarO
CG4230	FBgn0031683	0	73	1273	120	90	87	31	1157	1290	67	1213	1212	43	1351	34	1315	1343	1214	81	2			FBgn0053548	SmydA-8
ND-13A	FBgn0031684	0	313	1786	380	339	302	117	1470	1831	237	1679	1452	152	1810	123	1657	1798	1812	250	3			FBgn0029606	CG14052
Msp300	FBgn0261836	7	209	5308	235	200	208	153	3627	3547	174	1874	4924	104	1867	98	3116	4583	1542	208	0			FBgn0023524	CG3078
Cyp28d2	FBgn0031688	0	0	3	0	1	0	0	2	1	0	4	3	0	1	0	4	9	2	0	0			FBgn0040392	CG14050
Cyp28d1	FBgn0031689	0	0	2	0	2	1	0	5	1	0	3	0	3	2	0	9	8	2	1	0			FBgn0040391	CG2854
CG7742	FBgn0031690	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0			FBgn0264598	PsGEF
CG14034	FBgn0250847	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0040385	CG12496
TpnC25D	FBgn0031692	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	2	0	0			FBgn0052797	CG32797
tkv	FBgn0003716	1	249	4335	237	233	193	74	3631	3721	120	3330	3565	102	3570	107	3363	4176	3103	142	0			FBgn0001150	gt
Cyp4ac1	FBgn0031693	0	0	10	0	0	1	0	7	5	0	3	0	1	3	0	12	6	8	0	0			FBgn0040377	Vha36-3
Cyp4ac2	FBgn0031694	0	0	1	0	0	0	0	5	1	0	0	2	0	0	0	2	2	4	0	0			FBgn0040376	AANATL7
Cyp4ac3	FBgn0031695	0	0	27	6	6	2	0	27	17	2	10	19	0	10	0	17	19	9	0	0			FBgn0040333	brv3
Bsg25D	FBgn0000228	0	66	3675	87	71	57	22	2879	2920	44	3348	2989	44	3637	37	2745	3455	3021	50	0			FBgn0011276	HLH3B
Bub1	FBgn0031696	0	57	4483	58	77	47	16	4249	5197	44	4947	3955	26	5806	21	4393	4278	5195	41	0			FBgn0025838	CG2652
vri	FBgn0016076	0	82	902	79	82	73	28	722	621	82	441	813	33	451	33	569	851	384	110	0			FBgn0000092	dyw
CG14024	FBgn0031697	0	0	4	0	1	0	0	4	1	0	3	6	0	1	0	1	1	1	0	0			FBgn0024995	CG2680
Ncoa6	FBgn0031698	1	135	6755	154	141	113	34	5231	6772	80	6973	5830	46	7658	62	5438	6016	6358	74	0			FBgn0024997	CG2681
cype	FBgn0015031	7	655	3301	738	542	475	174	2784	3429	542	2761	2707	259	3215	329	3475	3044	2917	650	1			FBgn0283545	vilya
CG14022	FBgn0031700	0	0	3	1	1	1	0	3	2	0	2	7	0	6	2	0	3	1	0	0			FBgn0040356	CG12498
TotM	FBgn0031701	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0			FBgn0040352	CG14416
fusl	FBgn0031702	0	0	0	0	0	2	0	2	1	0	3	2	2	0	0	11	3	2	0	0			FBgn0040353	CG14417
Acsf2	FBgn0031703	0	53	753	86	61	77	25	641	620	59	652	656	33	734	44	609	729	608	59	2			FBgn0040354	CG14418
nompC	FBgn0016920	0	0	3	0	1	0	0	3	3	0	2	0	0	3	0	7	3	1	0	0			FBgn0029639	CG14419
H15	FBgn0016660	0	0	114	9	5	7	6	84	75	5	46	101	1	45	0	68	105	47	4	0			FBgn0040355	CG3526
mid	FBgn0261963	0	39	440	38	53	17	7	332	308	31	161	366	16	151	12	244	461	116	38	0			FBgn0025644	CG14424
CG14020	FBgn0031707	0	0	19	0	0	0	0	22	13	0	18	17	0	11	0	15	29	21	0	0			FBgn0052793	CG32793
CG7382	FBgn0031708	0	98	470	125	100	103	59	466	497	80	558	430	76	615	100	442	515	603	95	0			FBgn0029642	CG3592
cl	FBgn0000318	0	234	2771	242	220	141	75	2556	3520	180	3171	3073	106	3410	91	3311	2826	3355	159	1			FBgn0025645	CG3598
Vps52	FBgn0031710	0	183	1827	199	150	148	67	1649	1826	104	1752	1528	131	2036	97	1945	1945	1874	123	0			FBgn0029643	CG14420
CG6907	FBgn0031711	1	687	3370	727	645	613	286	2960	3862	429	3853	3400	360	4283	350	3540	3319	3990	542	17			FBgn0029644	CG14421
Cap-D3	FBgn0051989	0	56	982	67	48	73	31	770	1092	34	1227	1017	32	1353	15	968	901	1108	65	0			FBgn0029645	CG14422
CG31648	FBgn0051648	1	67	763	66	36	23	11	780	841	16	798	711	17	892	19	821	883	813	42	0			FBgn0029646	CG14423
CG31915	FBgn0051915	0	24	1324	38	27	21	10	1323	1436	19	1235	1081	11	1328	30	1206	1333	1154	10	0			FBgn0029647	CG17959
Coq6	FBgn0031713	3	120	1593	151	119	147	53	1425	1899	73	1891	1651	70	2060	85	1797	1622	2028	129	0			FBgn0029649	CG4116
tomb	FBgn0031715	0	0	8	1	1	3	0	11	19	0	6	24	2	9	0	15	13	7	0	0			FBgn0040393	CG14265
CG14015	FBgn0031716	0	1	5	0	1	0	0	9	13	2	5	19	0	4	0	17	6	7	0	0			FBgn0010294	ng2
Hel25E	FBgn0014189	13	1268	12949	1377	1178	1057	537	11357	13247	935	12477	11782	584	13931	698	12765	12344	12153	1084	5			FBgn0010295	ng3
Lam	FBgn0002525	3	516	13456	593	543	394	194	13802	16556	392	13873	12838	331	16541	213	14732	13669	15566	399	7			FBgn0002933	ng1
Oscillin	FBgn0031717	0	54	162	41	52	63	35	117	152	35	72	173	27	65	23	165	142	78	36	0			FBgn0010296	ng4
CG14014	FBgn0031718	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0			FBgn0003086	Pig1
CG18269	FBgn0031719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0003374	Sgs4
CG14013	FBgn0031720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029656	CG10793
CG14017	FBgn0031721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029657	CG12535
GluRIIA	FBgn0004620	0	0	39	4	1	0	0	29	22	2	12	25	0	10	3	25	24	6	2	0			FBgn0029658	CG14269
GluRIIB	FBgn0020429	0	1	3	1	2	2	0	5	2	0	0	2	0	2	0	0	3	0	0	0			FBgn0029659	CG16782
CG14011	FBgn0031722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029660	CG10801
CG7251	FBgn0031723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029661	CG16781
CG18266	FBgn0031724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029663	CG10804
DIP-eta	FBgn0031725	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0			FBgn0029667	Gas8
Cyp6a16	FBgn0031726	0	0	4	0	0	0	0	1	2	4	1	4	0	0	0	3	1	0	0	1			FBgn0052791	DIP-alpha
DIP-theta	FBgn0051646	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0			FBgn0029669	CG13021
Hsp60C	FBgn0031728	0	0	2	0	0	0	1	6	3	0	0	4	1	3	0	2	1	1	2	0			FBgn0052792	ppk8
CG12511	FBgn0031729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0			FBgn0266429	AstA-R1
CG7236	FBgn0031730	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0			FBgn0021738	Crg-1
CG14007	FBgn0031731	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0			FBgn0264954	fd3F
CG34011	FBgn0054011	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0			FBgn0029679	CG2901
CG11149	FBgn0031732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0029681	CG15239
sip1	FBgn0024191	0	138	1159	174	149	100	48	1166	1485	73	1261	1169	100	1478	50	1257	1201	1447	115	0			FBgn0260658	CG42541
CG11030	FBgn0031736	0	80	2540	133	96	104	39	2358	3025	65	2550	2601	62	2706	76	2773	2672	2665	73	3			FBgn0052786	Gem4b
CG14006	FBgn0031733	0	0	4	0	1	0	0	0	1	0	2	1	0	1	0	1	1	1	0	0			FBgn0052783	Gem4c
CG11147	FBgn0031734	1	21	77	96	58	105	18	48	52	31	34	32	26	38	14	35	52	71	47	0			FBgn0029690	CG6414
CG11029	FBgn0031735	0	0	23	0	1	0	0	19	20	0	12	18	0	9	0	11	27	9	0	0			FBgn0263772	CG43689
obst-E	FBgn0031737	0	0	2	0	4	2	0	5	6	6	2	6	0	3	0	6	8	3	6	0			FBgn0029694	CG15375
CG9171	FBgn0031738	0	37	2294	34	31	29	5	2177	2354	11	2191	2065	23	2729	25	2357	2063	2450	14	0			FBgn0262980	CG43288
CG31913	FBgn0051913	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0			FBgn0029700	CG15576
CG14005	FBgn0031739	0	4	2580	12	30	5	4	2604	3072	4	2826	2530	11	3120	9	2841	2637	3162	15	0			FBgn0029701	CG12691
CG7239	FBgn0031740	0	45	1439	58	61	46	6	1425	1754	26	1855	1465	37	1995	12	1624	1511	1824	36	0			FBgn0029702	CG15572
CG11034	FBgn0031741	2	24	959	38	19	22	7	1018	1067	10	1483	835	23	1756	15	1005	970	1530	22	0			FBgn0040904	CG15577
CG43307	FBgn0262999	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0040905	CG15578
COX6CL	FBgn0051644	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029703	CG12692
TrissinR	FBgn0085410	1	6	155	2	3	2	0	104	106	0	57	115	1	47	0	90	117	49	0	0			FBgn0040906	CG15579
rau	FBgn0031745	0	25	488	34	41	20	12	334	295	10	199	370	8	174	11	278	467	141	19	0			FBgn0029705	CG12693
CG44574	FBgn0265785	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0			FBgn0029707	CG12688
Sfp26Ac	FBgn0259959	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0000179	bi
CG43185	FBgn0262814	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0			FBgn0029708	CG3556
CG9029	FBgn0031746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029716	CG3546
Acp26Ab	FBgn0002856	0	0	5	0	0	0	0	1	0	0	0	0	0	2	0	1	0	2	0	0			FBgn0029717	CG12684
Acp26Aa	FBgn0002855	0	5	1	2	2	1	0	2	0	0	0	3	0	1	0	3	4	1	2	0			FBgn0025387	Alms1b
CG9021	FBgn0031747	0	0	0	0	1	0	0	1	0	0	0	1	0	2	0	1	1	0	0	0			FBgn0025613	CG3081
bchs	FBgn0043362	0	35	512	30	46	38	12	368	373	22	283	416	37	295	24	294	443	253	50	0			FBgn0025612	CG3062
CG14000	FBgn0031749	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0011277	HLH4C
CG9016	FBgn0031751	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	2	0	1	0	0			FBgn0029719	CG15473
dsf	FBgn0015381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029720	CG3009
Sfp26Ad	FBgn0261055	0	0	2	0	0	1	0	6	2	0	0	1	0	2	0	5	1	2	0	0			FBgn0029722	CG7024
Gpdh1	FBgn0001128	6	354	6265	541	439	415	167	6108	7212	288	6832	6183	213	7647	181	7116	6464	7204	410	0			FBgn0029724	CG15472
CG9044	FBgn0031752	0	106	2383	131	130	134	88	1870	2038	84	2031	2068	82	2352	76	1976	2111	1906	86	0			FBgn0025679	Klf15
CG13999	FBgn0031753	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	2	1	1	0	0			FBgn0029725	CG2871
CG13998	FBgn0040949	0	4	12	4	6	3	0	6	3	16	6	8	2	5	0	7	10	6	0	0			FBgn0029726	CG15471
Vm26Ab	FBgn0003980	16	4581	2274	2036	2934	1477	359	1242	1116	2780	1283	901	1349	696	1540	596	1567	962	1818	12			FBgn0029727	CG6978
Vm26Ac	FBgn0086266	0	204	150	100	235	102	23	18	29	91	83	4	86	20	39	19	108	77	81	0			FBgn0029729	CG12682
Vm26Aa	FBgn0003979	28	8824	3794	6326	8397	4569	914	1238	1485	5208	2466	813	3985	963	2799	460	2555	2124	3652	10			FBgn0029730	boil
psd	FBgn0086265	0	674	383	370	528	310	64	110	103	428	228	102	233	60	220	76	289	163	336	1			FBgn0061196	CG15468
CG13992	FBgn0031756	1	415	682	476	446	383	160	492	444	338	302	509	193	226	228	345	545	247	423	0			FBgn0029740	CG12680
Ucp4C	FBgn0031757	0	0	4	2	0	0	0	2	2	0	2	2	0	2	0	2	1	1	0	0			FBgn0029746	CG15465
Ucp4B	FBgn0031758	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029745	Rpn13R
chic	FBgn0000308	2	639	27139	891	740	577	168	26056	30478	600	27820	26336	353	31545	337	28960	28125	31396	675	2			FBgn0029747	CG5062
eIF4A	FBgn0001942	28	4127	81456	4527	4305	3482	1492	69942	76656	2814	60222	70783	2203	65422	2125	72121	80491	60034	3070	10			FBgn0261803	CG42749
ifc	FBgn0001941	1	345	7348	315	293	302	97	6487	7020	194	6693	6196	148	7562	118	6752	7332	6810	284	0			FBgn0029750	CG3323
Kdm5	FBgn0031759	2	262	13215	318	334	248	79	12222	15312	159	14846	12057	139	17132	109	12700	12169	14235	222	1			FBgn0029751	CG17764
Tsp26A	FBgn0031760	0	1	349	9	16	8	2	306	229	5	146	289	7	159	2	272	329	126	6	0			FBgn0029752	TrxT
Gal	FBgn0001089	0	0	8	6	6	7	12	7	7	4	1	2	4	4	6	10	13	4	1	0			FBgn0010014	CanB
CG9098	FBgn0031762	0	60	1078	49	60	53	19	915	715	29	479	928	28	515	14	778	911	448	20	2			FBgn0029761	SK
H2.0	FBgn0001170	0	0	3	1	0	1	0	7	0	0	5	2	0	1	0	5	10	1	0	0			FBgn0029762	NAAT1
CG13996	FBgn0031763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029765	CG16756
CG9107	FBgn0031764	0	147	966	158	179	123	43	959	1100	67	950	974	50	1016	76	1052	1021	1015	100	0			FBgn0029768	SPR
CG9109	FBgn0031765	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0			FBgn0029769	frma
mtm	FBgn0025742	5	149	2783	195	160	122	55	2611	3127	104	2727	2585	88	3063	75	2759	2722	2928	128	0			FBgn0052762	CG32762
CG9117	FBgn0031766	0	26	332	30	23	16	13	381	374	28	409	302	11	454	8	383	336	467	18	1			FBgn0029770	CG4151
CG31643	FBgn0051643	1	111	1054	95	75	60	34	864	1040	41	1076	856	64	1241	36	875	1007	1057	75	0			FBgn0263512	Vsx2
Pfas	FBgn0000052	1	302	8521	388	329	258	161	7383	8996	181	7620	8502	170	8266	139	8305	8220	7643	199	8			FBgn0263511	Vsx1
slmo	FBgn0029161	1	55	77	99	110	56	39	66	70	54	83	122	32	97	34	83	79	77	78	2			FBgn0085464	CG34435
CG34179	FBgn0085208	0	13	0	31	32	24	13	0	0	25	0	0	8	0	8	0	0	0	59	0			FBgn0250904	CG34434
IPIP	FBgn0031768	0	18	1238	45	31	47	11	1270	1510	37	1250	1238	44	1569	33	1417	1340	1553	27	0			FBgn0259150	OtopLc
CG9135	FBgn0031769	5	820	15977	1376	1121	1040	461	16113	21149	811	18364	15859	688	21668	602	19174	16989	20357	864	8			FBgn0003747	Gr5a
CG13995	FBgn0031770	0	0	3	0	0	0	0	2	6	0	10	4	0	6	0	6	9	4	0	0			FBgn0259926	CG42449
CG34180	FBgn0085209	0	0	3	0	0	0	0	3	4	0	3	1	0	5	0	3	1	1	0	0			FBgn0029791	AdamTS-B
ND-51	FBgn0031771	5	522	4314	783	579	527	248	4059	4771	473	3742	3960	284	4541	321	4530	4340	4087	492	11			FBgn0029795	CG15773
CG13994	FBgn0031772	0	107	430	119	100	90	33	511	550	61	616	422	32	706	63	548	564	671	62	0			FBgn0029799	CG15772
Fbw5	FBgn0031773	0	25	1329	56	57	43	27	1193	1501	46	1540	1186	27	1679	30	1361	1300	1515	40	0			FBgn0029804	CG3097
CG9147	FBgn0031774	0	19	511	28	19	20	3	523	576	21	678	538	20	702	15	566	571	699	26	0			FBgn0259149	CG42264
CG9150	FBgn0031775	0	0	5	0	1	0	0	4	3	0	2	6	0	8	0	2	7	5	0	0			FBgn0029807	CG3108
Pfdn1	FBgn0031776	1	353	2268	451	321	325	130	2276	2557	241	2508	2214	156	2843	167	2610	2410	2745	309	1			FBgn0029809	CG15767
CG9154	FBgn0031777	0	50	286	75	70	72	32	242	223	53	237	277	38	229	32	247	270	225	55	1			FBgn0029810	CG12239
Kr-h2	FBgn0266449	8	388	5075	470	405	372	147	4413	5405	323	5120	4734	192	5974	193	4843	5016	5439	403	1			FBgn0029811	Cpr5C
Kr-h1	FBgn0266450	1	85	38	86	61	71	25	35	43	51	17	37	33	14	39	20	23	9	90	0			FBgn0029812	Prosbeta2R1
CG45075	FBgn0266445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0265417	CG44329
CG9175	FBgn0031779	0	56	1739	71	59	48	8	1606	2327	42	1879	1693	28	2074	32	1941	1736	2122	34	0			FBgn0029814	CG15765
stai	FBgn0266521	12	1811	15578	2947	2044	2456	1269	14965	16195	1535	16410	14450	1460	20130	1380	17025	15847	17951	1968	5			FBgn0029816	CG12729
CG31642	FBgn0051642	0	9	33	1	2	1	3	24	34	2	18	33	0	17	2	26	43	18	4	0			FBgn0262610	CG43136
Arpc4	FBgn0284255	6	360	1320	419	299	257	133	1179	1402	210	1222	1234	147	1284	170	1364	1334	1288	286	2			FBgn0262611	CG43137
WDR79	FBgn0031782	0	73	1327	131	98	77	29	1384	1718	56	1607	1351	47	1859	52	1557	1403	1724	65	0			FBgn0029817	CG15764
B9d2	FBgn0261683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029826	CG6041
tctn	FBgn0261697	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0			FBgn0052755	CG32755
CG9222	FBgn0031784	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0			FBgn0029827	CG6048
CG13991	FBgn0031785	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1			FBgn0027546	CG4766
Muc26B	FBgn0040950	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0			FBgn0029003	mab-21
CG31639	FBgn0051639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0029834	CG5937
CG13989	FBgn0031786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0262575	CG43115
smal	FBgn0085409	0	15	50	4	1	1	0	30	6	4	17	15	2	19	1	8	33	18	3	0			FBgn0029836	CG5928
Ugt37B1	FBgn0026755	0	0	0	0	0	0	0	0	0	3	0	0	1	0	3	0	0	0	0	0			FBgn0029837	Tsp5D
Ddr	FBgn0053531	0	0	2	0	1	0	0	4	0	0	2	4	0	1	1	3	0	2	0	0			FBgn0029839	CG4660
AANATL2	FBgn0031791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0			FBgn0052750	CG32750
CG13983	FBgn0031792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0052751	CG32751
CG43922	FBgn0264543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0262536	CG43090
CG13984	FBgn0260452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0040069	vanin-like
PDZ-GEF	FBgn0265778	4	144	9100	138	134	85	57	8200	10320	61	9163	8401	59	10582	49	8582	8747	9491	88	0			FBgn0029848	Btnd
Pez	FBgn0031799	0	184	5782	146	147	122	51	5306	6744	75	5938	5380	102	6877	66	5635	5622	6124	111	0			FBgn0029851	CG14445
Cpr	FBgn0015623	7	274	11547	257	228	211	99	11472	14137	134	13475	11488	105	15784	111	12713	11701	14340	154	0			FBgn0029859	CG15892
CG9497	FBgn0031800	0	0	9	0	1	1	1	18	12	0	14	7	0	6	0	6	14	6	0	0			FBgn0029863	CG3823
CG9498	FBgn0031801	0	17	22	6	3	9	1	12	9	1	3	17	0	5	3	6	21	5	7	0			FBgn0029864	CG15894
ppk7	FBgn0031802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0053664	CG33664
ppk14	FBgn0031803	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0053669	CG33669
CG9500	FBgn0031804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0053668	CG33668
Nepl4	FBgn0031805	0	20	127	42	27	23	5	136	71	27	40	66	16	28	11	58	136	22	19	1			FBgn0259242	CG42340
slam	FBgn0043854	0	69	2081	71	55	36	18	1905	2174	25	2513	1797	20	3002	16	1889	2024	2339	64	0			FBgn0053667	CG33667
DIP-epsilon	FBgn0259714	0	0	22	0	0	0	0	24	9	0	14	18	0	10	0	10	21	7	0	0			FBgn0053666	CG33666
Nepl5	FBgn0031808	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	1	0			FBgn0053665	CG33665
Nepl6	FBgn0259716	0	0	6	0	0	3	0	4	1	0	1	0	0	1	0	9	4	3	8	0			FBgn0029877	CG17717
CG42369	FBgn0259715	0	3	32	0	3	4	5	17	8	6	28	7	0	7	3	41	30	29	8	0			FBgn0029880	CG14443
CG13982	FBgn0031811	0	0	112	2	1	1	0	80	70	0	60	55	1	44	0	67	93	61	0	0			FBgn0029898	CG14439
Tig	FBgn0011722	0	0	51	10	7	9	8	33	27	7	19	45	5	35	1	45	36	16	16	0			FBgn0086693	iav
Fic	FBgn0263278	0	16	1833	12	12	5	7	1918	2086	6	2466	1665	7	3009	1	1877	2018	2707	5	0			FBgn0029907	Atx-1
Acox3	FBgn0031813	0	16	952	70	47	56	15	786	841	36	629	772	23	703	29	868	944	656	50	0			FBgn0029909	mAChR-C
retm	FBgn0031814	0	54	1721	64	51	30	22	1557	1836	26	1731	1508	26	2179	17	1746	1719	1832	44	0			FBgn0029922	CG14431
frj	FBgn0031815	0	236	2663	244	186	176	60	2649	3407	153	3016	2545	126	3647	107	3111	2714	3361	165	1			FBgn0259204	CG42308
Rchy1	FBgn0031816	0	1	549	11	11	10	0	368	315	9	219	399	4	219	5	370	420	216	7	0			FBgn0052736	CG32736
HemK1	FBgn0031817	0	2	337	4	9	3	2	304	338	0	373	328	1	454	3	330	321	371	0	0			FBgn0029930	CG12541
mmy	FBgn0259749	0	61	3523	53	43	33	26	3319	3707	18	4278	3333	18	4895	30	3552	3469	4412	38	0			FBgn0029931	CG14427
CG9536	FBgn0031818	0	43	1858	63	36	26	24	1687	2152	50	2189	1753	30	2384	19	1773	1853	2261	50	0			FBgn0004143	nullo
Sec61alpha	FBgn0086357	8	2111	14139	2691	2230	1782	728	13194	16446	1831	14436	13824	1358	16334	1202	15371	14136	14908	2022	11			FBgn0029939	CG9650
Daxx	FBgn0031820	1	91	10840	85	117	91	37	10098	12394	62	10919	10084	41	12993	38	10560	10318	11025	72	0			FBgn0029940	CG1958
0	FBgn0031821	0	0	36	2	1	0	0	30	17	1	16	12	0	19	0	21	37	20	0	0			FBgn0029945	Acsf3
epsilonCOP	FBgn0027496	3	602	1547	691	621	539	253	1278	1595	348	1738	1350	309	1911	288	1467	1482	1886	519	4			FBgn0261848	CG42780
Phf5a	FBgn0031822	0	190	1493	251	143	192	108	1341	1744	143	1777	1460	80	1980	112	1826	1632	1820	196	1			FBgn0029946	CG15034
CG31638	FBgn0051638	0	3	1376	32	33	29	9	1478	1651	17	1463	1454	12	1842	22	1593	1451	1604	22	0			FBgn0029947	CG1999
CG9547	FBgn0031824	0	75	1346	120	66	46	21	1396	1773	67	1397	1362	51	1626	30	1704	1516	1565	87	0			FBgn0029948	CheA7a
CG9550	FBgn0031826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			FBgn0261849	CG42781
CG31637	FBgn0051637	0	25	1460	58	32	34	13	1448	1659	32	1657	1323	28	1997	21	1529	1449	1777	14	0			FBgn0029949	CG15035
eya	FBgn0000320	3	78	908	84	92	53	22	693	682	59	350	824	54	319	36	616	908	318	55	4			FBgn0265265	CG32727
IFT52	FBgn0031829	0	3	28	5	5	1	2	17	14	0	12	9	3	10	0	12	19	5	4	0			FBgn0259098	CG42246
